id,prop
337190182,1
337190183,1
337190184,1
337190185,1
337190186,1
337190187,1
337190188,1
337190189,1
337190190,1
337190191,1
337190192,1
337190193,1
337190194,1
337190195,1
337190196,1
337190197,1
337190198,1
337190199,1
337190200,1
337190201,0.333333333
337190202,1
337190203,1
337190204,0.933333333
337190205,1
337190206,1
337190207,1
337190208,1
337190209,1
337190210,1
337190211,1
337190212,0.933333333
337190213,1
337190214,1
337190215,1
337190216,1
337190217,1
337190218,1
337190219,1
337190220,1
337190221,1
337190222,0.866666667
337190223,1
337190224,1
337190225,1
337190226,1
337190227,1
337190228,1
337190229,1
337190230,1
337190231,1
337190232,1
337190233,1
337190234,1
337190235,1
337190237,1
337190238,1
337190239,1
337190240,1
337190241,1
337190242,1
337190243,1
337190245,1
337190246,1
337190247,1
337190248,1
337190249,1
337190250,1
337190251,1
337190252,0.733333333
337190253,1
337190254,1
337190255,1
337190256,1
337190257,1
337190258,1
337190259,1
337190260,1
337190261,1
337190262,1
337190263,1
337190264,0.866666667
337190265,1
337190266,1
337190267,1
337190268,1
337190269,1
337190270,1
337190271,1
337190272,1
337190273,1
337190274,1
337190275,1
337190276,1
337190277,1
337190278,1
337190279,1
337190280,1
337190281,1
337190282,1
337190283,1
337190284,1
337190285,1
337190286,1
337190287,1
337190288,1
337190289,1
337190290,1
337190291,1
337190292,1
337190293,1
337190294,0.866666667
337190295,1
337190296,1
337190297,1
337190298,1
337190299,1
337190300,1
337190301,1
337190302,1
337190303,1
337190304,1
337190305,1
337190306,0.866666667
337190307,1
337190308,1
337190309,1
337190310,1
337190311,1
337190312,1
337190313,1
337190314,1
337190315,1
337190316,1
337190317,1
337190318,1
337190319,1
337190320,1
337190321,1
337190322,1
337190323,1
337190324,1
337190325,0.733333333
337190326,1
337190327,1
337190328,1
337190329,1
337190330,1
337190331,1
337190332,1
337190333,1
337190334,1
337190335,1
337190336,1
337190337,1
337190338,1
337190339,1
337190340,1
337190341,1
337190342,1
337190343,1
337190344,1
337190345,1
337190346,1
337190347,1
337190348,1
337190349,1
337190350,1
337190351,1
337190352,1
337190353,1
337190354,1
337190355,1
337190356,1
337190357,1
337190358,1
337190359,0.933333333
337190360,1
337190361,1
337190362,1
337190363,1
337190364,1
337190365,1
337190366,1
337190367,1
337190368,1
337190369,1
337190370,1
337190371,1
337190372,1
337190373,1
337190374,1
337190375,1
337190376,1
337190377,1
337190378,1
337190379,1
337190380,1
337190381,1
337190382,1
337190383,1
337190384,1
337190385,1
337190386,1
337190387,1
337190388,1
337190389,1
337190390,1
337190391,1
337190621,1
337190622,1
337190623,1
337190624,1
337190625,1
337190626,1
337190627,1
337190628,1
337190629,1
337190630,1
337190631,1
337190632,1
337190633,1
337190634,1
337190635,1
337190636,1
337190637,1
337190638,1
337190639,1
337190640,1
337190641,1
337190642,1
337190643,1
337190644,1
337190645,1
337190646,1
337190647,1
337190648,1
337190649,1
337190650,1
337190651,1
337190652,1
337190653,1
337190654,1
337190655,1
337190656,1
337190657,1
337190658,1
337190659,1
337190660,1
337190661,1
337190662,0.733333333
337190663,1
337190664,1
337190665,1
337190666,1
337190667,1
337190668,1
337190669,1
337190670,1
337190671,1
337190672,1
337190673,1
337190674,1
337190675,1
337190676,1
337190677,1
337190678,1
337190679,1
337190680,1
337190681,1
337190682,1
337190683,1
337190684,1
337190685,1
337190686,1
337190687,1
337190688,1
337190689,1
337190690,1
337190691,1
337190692,1
337190693,1
337190694,1
337190695,1
337190696,1
337190697,1
337190698,1
337190699,1
337190700,1
337190701,1
337190702,1
337190703,1
337190704,1
337190705,1
337190706,1
337190707,1
337190708,1
337190709,1
337190710,1
337190711,1
337190712,1
